"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","PATCH /heartbeat (500)","chromium","Tue Feb 17 07:31:57 UTC 2026","passed","Tue Feb 17 07:31:57 UTC 2026","has description","mainApiTests.spec.js","",""
"","70","GET /todo (404) not plural","chromium","Tue Feb 17 07:31:54 UTC 2026","passed","Tue Feb 17 07:31:54 UTC 2026","has description","mainApiTests.spec.js","",""
"","74","GET /todos (200) JSON","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","70","DELETE /heartbeat (405)","chromium","Tue Feb 17 07:31:57 UTC 2026","passed","Tue Feb 17 07:31:57 UTC 2026","has description","mainApiTests.spec.js","",""
"","144","PUT /todos/{id} full (200)","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","71","GET /challenger/database/guid (200)","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:57 UTC 2026","has description","mainApiTests.spec.js","",""
"","3067","imageClick","chromium","Tue Feb 17 07:32:00 UTC 2026","passed","Tue Feb 17 07:32:03 UTC 2026","Main page","mainPage.spec.js","",""
"","77","GET /todos (200) XML","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","227","GET /challenges","chromium","Tue Feb 17 07:31:54 UTC 2026","passed","Tue Feb 17 07:31:54 UTC 2026","has description","mainApiTests.spec.js","",""
"","71","HEAD /todos (200)","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","70","GET /heartbeat (204)","chromium","Tue Feb 17 07:31:57 UTC 2026","passed","Tue Feb 17 07:31:57 UTC 2026","has description","mainApiTests.spec.js","",""
"","144","POST /todos/{id} (200)","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","71","GET /todos (406)","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","73","GET /todos (200)","chromium","Tue Feb 17 07:31:54 UTC 2026","passed","Tue Feb 17 07:31:54 UTC 2026","has description","mainApiTests.spec.js","",""
"","73","GET /todos (200) XML pref","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","141","PUT /challenger/guid RESTORE","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","3500","twitter click","chromium","Tue Feb 17 07:32:03 UTC 2026","passed","Tue Feb 17 07:32:06 UTC 2026","Product page","productPage.spec.js","",""
"","1401","pagination 50 click","chromium","Tue Feb 17 07:31:57 UTC 2026","passed","Tue Feb 17 07:31:58 UTC 2026","Main page","mainPage.spec.js","",""
"","72","GET /challenger/guid (existing X-CHALLENGER)","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","221","POST /todos (201)","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","1050","pagination 10 click","chromium","Tue Feb 17 07:31:58 UTC 2026","passed","Tue Feb 17 07:31:59 UTC 2026","Main page","mainPage.spec.js","",""
"","71","GET /todos (200) no accept","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","213","GET /todos/{id} (200)","chromium","Tue Feb 17 07:31:54 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","141","PUT /todos/{id} no title (400)","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","210","DELETE /todos/{id} (200)","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","70","OPTIONS /todos (200)","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","71","GET /todos (200) ANY","chromium","Tue Feb 17 07:31:56 UTC 2026","passed","Tue Feb 17 07:31:56 UTC 2026","has description","mainApiTests.spec.js","",""
"","141","GET /todos (200) ?filter","chromium","Tue Feb 17 07:31:55 UTC 2026","passed","Tue Feb 17 07:31:55 UTC 2026","has description","mainApiTests.spec.js","",""
"","50233","Product comment","chromium","Tue Feb 17 07:33:49 UTC 2026","broken","Tue Feb 17 07:34:39 UTC 2026","Product page","productPage.spec.js","",""
